ix,iy,x_m,y_m,depth_m
0,0,-250.000000,-250.000000,15.135957
1,0,-245.000000,-250.000000,15.101943
2,0,-240.000000,-250.000000,15.067928
3,0,-235.000000,-250.000000,15.033914
4,0,-230.000000,-250.000000,15.000136
5,0,-225.000000,-250.000000,14.966507
6,0,-220.000000,-250.000000,14.932911
7,0,-215.000000,-250.000000,14.899326
8,0,-210.000000,-250.000000,14.865741
9,0,-205.000000,-250.000000,14.832419
10,0,-200.000000,-250.000000,14.804099
11,0,-195.000000,-250.000000,14.775964
12,0,-190.000000,-250.000000,14.748591
13,0,-185.000000,-250.000000,14.721219
14,0,-180.000000,-250.000000,14.693846
15,0,-175.000000,-250.000000,14.667628
16,0,-170.000000,-250.000000,14.642630
17,0,-165.000000,-250.000000,14.618015
18,0,-160.000000,-250.000000,14.593623
19,0,-155.000000,-250.000000,14.569231
20,0,-150.000000,-250.000000,14.544840
21,0,-145.000000,-250.000000,14.516548
22,0,-140.000000,-250.000000,14.487829
23,0,-135.000000,-250.000000,14.457765
24,0,-130.000000,-250.000000,14.427701
25,0,-125.000000,-250.000000,14.397637
26,0,-120.000000,-250.000000,14.365005
27,0,-115.000000,-250.000000,14.327769
28,0,-110.000000,-250.000000,14.288949
29,0,-105.000000,-250.000000,14.248565
30,0,-100.000000,-250.000000,14.208181
31,0,-95.000000,-250.000000,14.167797
32,0,-90.000000,-250.000000,14.124281
33,0,-85.000000,-250.000000,14.079952
34,0,-80.000000,-250.000000,14.033575
35,0,-75.000000,-250.000000,13.987066
36,0,-70.000000,-250.000000,13.940558
37,0,-65.000000,-250.000000,13.894310
38,0,-60.000000,-250.000000,13.848938
39,0,-55.000000,-250.000000,13.803859
40,0,-50.000000,-250.000000,13.759267
41,0,-45.000000,-250.000000,13.714674
42,0,-40.000000,-250.000000,13.670082
43,0,-35.000000,-250.000000,13.627391
44,0,-30.000000,-250.000000,13.585653
45,0,-25.000000,-250.000000,13.545870
46,0,-20.000000,-250.000000,13.506541
47,0,-15.000000,-250.000000,13.467211
48,0,-10.000000,-250.000000,13.427970
49,0,-5.000000,-250.000000,13.389499
50,0,0.000000,-250.000000,13.351248
51,0,5.000000,-250.000000,13.313666
52,0,10.000000,-250.000000,13.276083
53,0,15.000000,-250.000000,13.238501
54,0,20.000000,-250.000000,13.200270
55,0,25.000000,-250.000000,13.161483
